constructorStandingsId,raceId,name,points,position,positionText,wins
21011,673,Eagle-Weslake,0.0,13,13,0
21010,673,Brabham-Climax,0.0,12,12,0
21009,673,Honda,8.0,7,7,0
21008,673,Cooper-Maserati,0.0,11,11,0
21007,673,Matra-Ford,20.0,4,4,1
21006,673,McLaren-BRM,2.0,10,10,0
21005,673,Ferrari,25.0,2,2,1
21004,673,Brabham-Repco,6.0,9,9,0
21003,673,Lotus-Ford,38.0,1,1,4
21028,674,BRM,18.0,5,5,0
21027,674,Matra,6.0,9,9,0
21026,674,McLaren-Ford,22.0,4,4,1
21025,674,Cooper-BRM,12.0,6,6,0
21024,674,Lotus-Ford,44.0,1,1,4
21023,674,Brabham-Repco,10.0,7,7,0
21022,674,Ferrari,28.0,3,3,1
21021,674,McLaren-BRM,2.0,10,10,0
21020,674,Matra-Ford,29.0,2,2,2
21019,674,Cooper-Maserati,0.0,11,11,0
21018,674,Honda,8.0,8,8,0
21045,675,Cooper-Climax,0.0,17,17,0
21044,675,LDS,0.0,16,16,0
21043,675,Eagle-Weslake,0.0,12,12,0
21042,675,Brabham-Climax,0.0,15,15,0
21041,675,Honda,8.0,9,9,0
21040,675,Cooper-Maserati,0.0,11,11,0
21039,675,Matra-Ford,35.0,2,2,2
21038,675,McLaren-BRM,3.0,10,10,0
21037,675,Ferrari,32.0,3,3,1
21036,675,Brabham-Repco,10.0,7,7,0
21035,675,Lotus-Ford,44.0,1,1,4
21062,676,BRM,25.0,5,5,0
21061,676,Matra,8.0,8,8,0
21060,676,McLaren-Ford,40.0,2,2,3
21059,676,Cooper-BRM,14.0,6,6,0
21058,676,Lotus-Ford,47.0,1,1,4
21057,676,Brabham-Repco,10.0,7,7,0
21056,676,Ferrari,32.0,4,4,1
21055,676,McLaren-BRM,3.0,10,10,0
21054,676,Matra-Ford,36.0,3,3,2
21053,676,Cooper-Maserati,0.0,11,11,0
21052,676,Honda,8.0,9,9,0
21079,677,Cooper-Climax,0.0,17,17,0
21078,677,LDS,0.0,16,16,0
21077,677,Eagle-Weslake,0.0,12,12,0
21076,677,Brabham-Climax,0.0,15,15,0
21075,677,Honda,12.0,7,7,0
21074,677,Cooper-Maserati,0.0,11,11,0
21073,677,Matra-Ford,45.0,2,2,3
21072,677,McLaren-BRM,3.0,10,10,0
21071,677,Ferrari,32.0,4,4,1
21070,677,Brabham-Repco,10.0,8,8,0
21069,677,Lotus-Ford,53.0,1,1,4
21096,678,Cooper-Climax,0.0,17,17,0
21095,678,LDS,0.0,16,16,0
21094,678,Eagle-Weslake,0.0,12,12,0
21093,678,Brabham-Climax,0.0,15,15,0
21092,678,Honda,14.0,6,6,0
21091,678,Cooper-Maserati,0.0,11,11,0
21090,678,Matra-Ford,45.0,3,3,3
21089,678,McLaren-BRM,3.0,10,10,0
21088,678,Ferrari,32.0,4,4,1
21087,678,Brabham-Repco,10.0,8,8,0
21086,678,Lotus-Ford,62.0,1,1,5
20741,679,Lotus-BRM,0.0,7,7,0
20740,679,LDS-Climax,0.0,6,6,0
20739,679,Brabham-Climax,2.0,5,5,0
20738,679,Brabham-Repco,3.0,4,4,0
20737,679,Honda,4.0,3,3,0
20736,679,Cooper-Climax,6.0,2,2,0
20735,679,Cooper-Maserati,9.0,1,1,1
20753,680,Lotus-BRM,6.0,3,3,0
20752,680,Ferrari,4.0,5,5,0
20751,680,McLaren-BRM,3.0,7,7,0
20750,680,BRM,1.0,9,9,0
20749,680,Lotus-Climax,0.0,11,11,0
20748,680,Cooper-Maserati,11.0,2,2,1
20747,680,Cooper-Climax,6.0,4,4,0
20746,680,Honda,4.0,6,6,0
20745,680,Brabham-Repco,12.0,1,1,1
20744,680,Brabham-Climax,2.0,8,8,0
20767,681,Ferrari,7.0,4,4,0
20766,681,BRM,1.0,10,10,0
20765,681,Eagle-Climax,0.0,13,13,0
20764,681,Lotus-BRM,6.0,5,5,0
20763,681,LDS-Climax,0.0,11,11,0
20762,681,Brabham-Climax,2.0,9,9,0
20761,681,Brabham-Repco,18.0,1,1,1
20760,681,Honda,4.0,7,7,0
20759,681,Cooper-Climax,6.0,6,6,0
20758,681,Cooper-Maserati,11.0,2,2,1
20782,682,Ferrari,11.0,3,3,0
20781,682,BRM,7.0,6,6,0
20780,682,Eagle-Climax,0.0,14,14,0
20779,682,Lotus-BRM,6.0,7,7,0
20778,682,LDS-Climax,0.0,12,12,0
20777,682,Brabham-Climax,2.0,11,11,0
20776,682,Brabham-Repco,18.0,1,1,1
20775,682,Honda,4.0,9,9,0
20774,682,Cooper-Climax,6.0,8,8,0
20773,682,Cooper-Maserati,14.0,2,2,1
20797,683,Lotus-BRM,6.0,7,7,0
20796,683,Ferrari,11.0,4,4,0
20795,683,McLaren-BRM,3.0,10,10,0
20794,683,BRM,11.0,3,3,0
20793,683,Lotus-Climax,0.0,13,13,0
20792,683,Cooper-Maserati,17.0,2,2,1
20791,683,Cooper-Climax,6.0,8,8,0
20790,683,Honda,4.0,9,9,0
20789,683,Brabham-Repco,27.0,1,1,2
20788,683,Brabham-Climax,2.0,11,11,0
20812,684,Lotus-BRM,6.0,7,7,0
20811,684,Ferrari,15.0,4,4,0
20810,684,McLaren-BRM,3.0,10,10,0
20809,684,BRM,11.0,5,5,0
20808,684,Lotus-Climax,0.0,13,13,0
20807,684,Cooper-Maserati,19.0,3,3,1
20806,684,Cooper-Climax,6.0,8,8,0
20805,684,Honda,5.0,9,9,0
20804,684,Brabham-Repco,33.0,1,1,2
20803,684,Brabham-Climax,2.0,11,11,0
20830,685,Lotus-Climax,0.0,15,15,0
20829,685,McLaren-BRM,3.0,10,10,0
20828,685,Ferrari,19.0,4,4,0
20827,685,BRM,11.0,5,5,0
20826,685,Eagle-Climax,0.0,16,16,0
20825,685,Lotus-BRM,6.0,8,8,0
20824,685,LDS-Climax,0.0,14,14,0
20823,685,Brabham-Climax,2.0,11,11,0
20822,685,Brabham-Repco,42.0,1,1,3
20821,685,Honda,8.0,7,7,0
20820,685,Cooper-Climax,6.0,9,9,0
20819,685,Cooper-Maserati,21.0,2,2,1
20849,686,Eagle-Weslake,13.0,5,5,1
20848,686,Lotus-Ford,22.0,2,2,2
20847,686,Lotus-BRM,6.0,8,8,0
20846,686,Ferrari,20.0,4,4,0
20845,686,McLaren-BRM,3.0,10,10,0
20844,686,BRM,13.0,6,6,0
20843,686,Lotus-Climax,0.0,15,15,0
20842,686,Cooper-Maserati,21.0,3,3,1
20841,686,Cooper-Climax,6.0,9,9,0
20840,686,Honda,8.0,7,7,0
20839,686,Brabham-Repco,51.0,1,1,4
20838,686,Brabham-Climax,2.0,11,11,0
20868,687,Eagle-Weslake,13.0,7,7,1
20867,687,Lotus-Ford,26.0,2,2,2
20866,687,Lotus-BRM,6.0,8,8,0
20865,687,Ferrari,20.0,4,4,0
20864,687,McLaren-BRM,3.0,10,10,0
20863,687,BRM,15.0,6,6,0
20862,687,Lotus-Climax,0.0,15,15,0
20861,687,Cooper-Maserati,24.0,3,3,1
20860,687,Cooper-Climax,6.0,9,9,0
20859,687,Honda,17.0,5,5,1
20858,687,Brabham-Repco,57.0,1,1,4
20857,687,Brabham-Climax,2.0,11,11,0
20887,688,Eagle-Weslake,13.0,7,7,1
20886,688,Lotus-Ford,35.0,2,2,3
20885,688,Lotus-BRM,6.0,8,8,0
20884,688,Ferrari,20.0,4,4,0
20883,688,McLaren-BRM,3.0,10,10,0
20882,688,BRM,15.0,6,6,0
20881,688,Lotus-Climax,0.0,16,16,0
20880,688,Cooper-Maserati,27.0,3,3,1
20879,688,Cooper-Climax,6.0,9,9,0
20878,688,Honda,17.0,5,5,1
20877,688,Brabham-Repco,61.0,1,1,4
20876,688,Brabham-Climax,2.0,11,11,0
20907,689,Eagle-Weslake,13.0,7,7,1
20906,689,Lotus-Ford,44.0,2,2,4
20905,689,Lotus-BRM,6.0,8,8,0
20904,689,Ferrari,20.0,5,5,0
20903,689,McLaren-BRM,3.0,10,10,0
20902,689,BRM,17.0,6,6,0
20901,689,Lotus-Climax,0.0,16,16,0
20900,689,Cooper-Maserati,28.0,3,3,1
20899,689,Cooper-Climax,6.0,9,9,0
20898,689,Honda,20.0,4,4,1
20897,689,Brabham-Repco,63.0,1,1,4
20896,689,Brabham-Climax,2.0,11,11,0
20628,690,BRM,9.0,1,1,1
20627,690,Ferrari,6.0,2,2,0
20626,690,Cooper-Maserati,0.0,3,3,0
20624,690,McLaren-Ford,0.0,9,9,0
20639,691,Ferrari,15.0,1,1,1
20638,691,Cooper-Maserati,6.0,3,3,0
20637,691,McLaren-Ford,0.0,10,10,0
20635,691,Eagle-Climax,0.0,5,5,0
20633,691,Brabham-Climax,0.0,9,9,0
20650,692,Ferrari,21.0,1,1,1
20649,692,Cooper-Maserati,9.0,4,4,0
20648,692,McLaren-Ford,0.0,10,10,0
20647,692,McLaren-Serenissima,0.0,11,11,0
20646,692,Eagle-Climax,2.0,5,5,0
20645,692,BRM,9.0,3,3,1
20663,693,Ferrari,21.0,2,2,1
20662,693,Cooper-Maserati,11.0,4,4,0
20661,693,McLaren-Ford,0.0,12,12,0
20660,693,Shannon,0.0,13,13,0
20659,693,McLaren-Serenissima,1.0,8,8,0
20658,693,Cooper-Ferrari,0.0,10,10,0
20676,694,McLaren-Ford,0.0,12,12,0
20675,694,Shannon,0.0,13,13,0
20674,694,Ferrari,22.0,2,2,1
